old_identifier	proposed_identifier	occurrences	files	category	action	clusters
_generated_prec	_generated_strictInterl	1	1	tactic_reference	migrate_with_tactic_owner	Tactic
_hFullToPrec0	_hFullToInterl	2	1	reference_or_local	migrate_with_declaration_owner	Hadamard
_prec	_strictInterl	3	2	tactic_reference	migrate_with_tactic_owner	Tactic
a116088Rows_pf_and_prec0	a116088Rows_pf_and_interl	1	1	lean_declaration	manual_semantic_rename	BrandenLeite
a116089Rows_pf_and_prec0	a116089Rows_pf_and_interl	1	1	lean_declaration	manual_semantic_rename	BrandenLeite
A144438_prec	A144438_strictInterl	3	2	lean_declaration	manual_semantic_rename	Applications
a144696Auxiliary_eval_mul_derivative_pos_of_prec	a144696Auxiliary_eval_mul_derivative_pos_of_strictInterl	2	1	lean_declaration	manual_semantic_rename	Applications
a144696Auxiliary_interlaces_of_prec	a144696Auxiliary_interlaces_of_strictInterl	1	1	lean_declaration	manual_semantic_rename	Applications
a144696BernsteinImage_horizontal_prec	a144696BernsteinImage_horizontal_strictInterl	3	2	lean_declaration	manual_semantic_rename	Applications
a144696BernsteinImage_prec	a144696BernsteinImage_strictInterl	2	1	lean_declaration	manual_semantic_rename	Applications
a144696BernsteinImage_shifted_prec	a144696BernsteinImage_shifted_strictInterl	1	1	lean_declaration	manual_semantic_rename	Applications
a144696BernsteinImage_vertical_prec	a144696BernsteinImage_vertical_strictInterl	1	1	lean_declaration	manual_semantic_rename	Applications
a144696Polynomial_reciprocal_prec	a144696Polynomial_reciprocal_strictInterl	2	1	lean_declaration	manual_semantic_rename	Applications
a144696Polynomial_reciprocal_prec_of_two_le	a144696Polynomial_reciprocal_strictInterl_of_two_le	2	1	lean_declaration	manual_semantic_rename	Applications
a206294Rows_pf_and_prec0	a206294Rows_pf_and_interl	1	1	lean_declaration	manual_semantic_rename	BrandenLeite
a207327Rows_pf_and_prec0	a207327Rows_pf_and_interl	2	1	lean_declaration	manual_semantic_rename	BrandenLeite
a358623_activeOffset_prec	a358623_activeOffset_strictInterl	1	1	tactic_declaration	manual_alias_then_migrate	Tactic
a358623Shifted_prec	a358623Shifted_strictInterl	1	1	tactic_declaration	manual_alias_then_migrate	Tactic
all_prec	all_strictInterl	13	3	tactic_reference	migrate_with_tactic_owner	Tactic
allComboRealRooted_left_X_mul_component_of_prec_left	allComboRealRooted_left_X_mul_component_of_strictInterl_left	5	1	lean_declaration	manual_semantic_rename	SymmetricDecomposition
allComboRealRooted_left_X_mul_component_of_prec_right	allComboRealRooted_left_X_mul_component_of_strictInterl_right	2	1	lean_declaration	manual_semantic_rename	SymmetricDecomposition
allComboRealRooted_of_prec	allComboRealRooted_of_strictInterl	32	21	lean_declaration	manual_semantic_rename	AffineFamily,AffineFamily.lean,BorceaBranden,Challenges,ClassicalHurwitzMatrix,CommonInterleaver,EulerOperator,EulerianMixedCompatibility.lean,FiniteFreeRootCount.lean,FolkloreLemma.lean,GeneralizedEulerian.lean,GeneralizedSnakePosets,Interlacing,InterlacingClosure.lean,ObreschkoffConverse,OperatorPreservesInterlacing.lean,SymmetricDecomposition,WangYeh
allComboRealRooted_of_prec_or_revPrec	allComboRealRooted_of_strictInterl_or_reverse	5	3	lean_declaration	manual_semantic_rename	CommonInterleaver
allComboRealRooted_of_prec_sameDegree	allComboRealRooted_of_strictInterl_sameDegree	2	1	lean_declaration	manual_semantic_rename	ObreschkoffConverse
allComboRealRooted_of_prec_sameDegree_of_no_common	allComboRealRooted_of_strictInterl_sameDegree_of_no_common	2	1	lean_declaration	manual_semantic_rename	ObreschkoffConverse
allComboRealRooted_of_prec_sameDegree_pos_of_no_common	allComboRealRooted_of_strictInterl_sameDegree_pos_of_no_common	2	1	lean_declaration	manual_semantic_rename	ObreschkoffConverse
allComboRealRooted_of_prec_succDegree	allComboRealRooted_of_strictInterl_succDegree	2	1	lean_declaration	manual_semantic_rename	ObreschkoffConverse
allComboRealRooted_of_prec_succDegree_pos	allComboRealRooted_of_strictInterl_succDegree_pos	2	1	lean_declaration	manual_semantic_rename	ObreschkoffConverse
aswEdreiChow_prec0_derangement	aswEdreiChow_interl_derangement	1	1	lean_declaration	manual_semantic_rename	BrandenVecchi
aswEdreiChow_prec0_succ	aswEdreiChow_interl_succ	2	1	lean_declaration	manual_semantic_rename	BrandenVecchi
aswEdreiChowDerangement_prec0_succ	aswEdreiChowDerangement_interl_succ	1	1	lean_declaration	manual_semantic_rename	BrandenVecchi
auxiliaryG_prec_succ_of_narayanaTwoModel	auxiliaryG_strictInterl_succ_of_narayanaTwoModel	2	1	lean_declaration	manual_semantic_rename	GeneralizedSnakePosets
bezout_sequence_posDef_of_strictPrecSameDegree	bezout_sequence_posDef_of_strictInterlSameDegree	2	1	tactic_declaration	manual_alias_then_migrate	Tactic
bezout_sequence_prec_of_posDef	bezout_sequence_strictInterl_of_posDef	2	1	tactic_declaration	manual_alias_then_migrate	Tactic
bezout_sequence_strictPrecSameDegree_of_posDef	bezout_sequence_strictInterlSameDegree_of_posDef	2	1	tactic_declaration	manual_alias_then_migrate	Tactic
bidiagonalOperator_prec_of_affineSymbol_stable	bidiagonalOperator_strictInterl_of_affineSymbol_stable	3	2	lean_declaration	manual_semantic_rename	BorceaBranden
binomialCompositionRows_pf_and_prec0	binomialCompositionRows_pf_and_interl	4	1	lean_declaration	manual_semantic_rename	BrandenLeite
binomialShiftedRodRows_pf_and_prec0	binomialShiftedRodRows_pf_and_interl	1	1	lean_declaration	manual_semantic_rename	BrandenLeite
binomialSymbolChow_prec0_succ	binomialSymbolChow_interl_succ	1	1	lean_declaration	manual_semantic_rename	BrandenVecchi
brandenBasisImage_adjacent_prec	brandenBasisImage_adjacent_strictInterl	2	1	lean_declaration	manual_semantic_rename	Transforms
brandenBasisImage_endpoint_prec	brandenBasisImage_endpoint_strictInterl	3	1	lean_declaration	manual_semantic_rename	Transforms
brandenBasisImage_first_prec	brandenBasisImage_first_strictInterl	1	1	lean_declaration	manual_semantic_rename	Transforms
brandenBasisImage_prec	brandenBasisImage_strictInterl	3	1	lean_declaration	manual_semantic_rename	Transforms
brandenBasisImage_zero_prec	brandenBasisImage_zero_strictInterl	4	2	lean_declaration	manual_semantic_rename	Transforms
brandenBasisWeightedSum_prec	brandenBasisWeightedSum_strictInterl	1	1	lean_declaration	manual_semantic_rename	Transforms
brandenBasisWeightedSum_prec0	brandenBasisWeightedSum_interl	1	1	lean_declaration	manual_semantic_rename	Transforms
brandenBasisWeightedSum_prec0_of_le	brandenBasisWeightedSum_interl_of_le	3	1	lean_declaration	manual_semantic_rename	Transforms
brandenBasisWeightedSum_prec_of_le	brandenBasisWeightedSum_strictInterl_of_le	2	1	lean_declaration	manual_semantic_rename	Transforms
brandenEulerStep_prec	brandenEulerStep_strictInterl	4	1	lean_declaration	manual_semantic_rename	Transforms
brandenSolusTheorem26_forward_of_prec_a_p_top_degree	brandenSolusTheorem26_forward_of_strictInterl_a_p_top_degree	2	1	lean_declaration	manual_semantic_rename	SymmetricDecomposition
brandenSolusTheorem26_forward_of_prec_b_a	brandenSolusTheorem26_forward_of_strictInterl_b_a	11	2	lean_declaration	manual_semantic_rename	Applications,SymmetricDecomposition
brandenSolusTheorem26_last_equiv_of_precFPolynomialTransport	brandenSolusTheorem26_last_equiv_of_strictInterlFPolynomialTransport	2	1	lean_declaration	manual_semantic_rename	SymmetricDecomposition
chowDerangement_prec0_succ_of_isTotallyNonneg	chowDerangement_interl_succ_of_isTotallyNonneg	3	2	lean_declaration	manual_semantic_rename	BrandenVecchi
chowDerangement_prec_succ_of_isTotallyNonneg_of_ne	chowDerangement_strictInterl_succ_of_isTotallyNonneg_of_ne	1	1	lean_declaration	manual_semantic_rename	BrandenVecchi
chowPolynomial_prec0_chowDerangement_of_isTotallyNonneg	chowPolynomial_interl_chowDerangement_of_isTotallyNonneg	3	2	lean_declaration	manual_semantic_rename	BrandenVecchi
chowPolynomial_prec0_succ_of_isTotallyNonneg	chowPolynomial_interl_succ_of_isTotallyNonneg	4	3	lean_declaration	manual_semantic_rename	BrandenVecchi
chowPolynomial_prec_chowDerangement_of_isTotallyNonneg_of_ne	chowPolynomial_strictInterl_chowDerangement_of_isTotallyNonneg_of_ne	1	1	lean_declaration	manual_semantic_rename	BrandenVecchi
chowPolynomial_prec_succ_of_isTotallyNonneg_of_ne	chowPolynomial_strictInterl_succ_of_isTotallyNonneg_of_ne	1	1	lean_declaration	manual_semantic_rename	BrandenVecchi
chowPolynomial_resolvingRowCombination_endpoint_prec0	chowPolynomial_resolvingRowCombination_endpoint_interl	2	1	lean_declaration	manual_semantic_rename	BrandenVecchi
chowPolynomial_resolvingRowCombination_endpoint_prec_of_ne	chowPolynomial_resolvingRowCombination_endpoint_strictInterl_of_ne	1	1	lean_declaration	manual_semantic_rename	BrandenVecchi
chowRowTransform_prec0_of_lt	chowRowTransform_interl_of_lt	3	1	lean_declaration	manual_semantic_rename	BrandenVecchi
chowS_nonnegCoeffs_and_prec	chowS_nonnegCoeffs_and_strictInterl	2	1	reference_or_local	migrate_with_declaration_owner	BrandenVecchi
chowS_nonnegCoeffs_and_prec0	chowS_nonnegCoeffs_and_interl	1	1	reference_or_local	migrate_with_declaration_owner	BrandenVecchi
chowS_nonnegCoeffs_and_prec0_self_reflect	chowS_nonnegCoeffs_and_interl_self_reflect	10	2	reference_or_local	migrate_with_declaration_owner	BrandenVecchi
chowS_nonnegCoeffs_and_prec_of_triple	chowS_nonnegCoeffs_and_strictInterl_of_triple	5	2	lean_declaration	manual_semantic_rename	BrandenVecchi
chowS_prec0	chowS_interl	3	2	reference_or_local	migrate_with_declaration_owner	BrandenVecchi
closeNamedDirectOrPrec	closeNamedDirectOrStrictInterl	3	1	tactic_declaration	manual_alias_then_migrate	Tactic
closePrec	closeStrictInterl	2	1	tactic_reference	migrate_with_tactic_owner	Tactic
coeff_zero_ne_of_prec_rotatedParts	coeff_zero_ne_of_strictInterl_rotatedParts	3	1	lean_declaration	manual_semantic_rename	ClassicalHurwitzMatrix
commonLeftInterleaverShiftedSlot_of_precLeft	commonLeftInterleaverShiftedSlot_of_strictInterlLeft	2	1	lean_declaration	manual_semantic_rename	CommonInterleaver
compatible_X_left_of_prec_nonneg	compatible_X_left_of_strictInterl_nonneg	4	1	lean_declaration	manual_semantic_rename	Compatibility
compatibleSuccDegreeEndpointSignLowerCountEq_of_prec	compatibleSuccDegreeEndpointSignLowerCountEq_of_strictInterl	2	1	lean_declaration	manual_semantic_rename	CommonInterleaver
compatibleSuccDegreePrec_of_allCombo	compatibleSuccDegreeStrictInterl_of_allCombo	5	2	lean_declaration	manual_semantic_rename	CommonInterleaver
compatibleSuccDegreePrec_of_allComboBridge	compatibleSuccDegreeStrictInterl_of_allComboBridge	1	1	lean_declaration	manual_semantic_rename	CommonInterleaver
compatibleSuccDegreePrec_of_negativeRightFamily	compatibleSuccDegreeStrictInterl_of_negativeRightFamily	2	1	lean_declaration	manual_semantic_rename	CommonInterleaver
compatibleSuccDegreePrec_of_negativeRightFamily_nonnegShift	compatibleSuccDegreeStrictInterl_of_negativeRightFamily_nonnegShift	1	1	lean_declaration	manual_semantic_rename	CommonInterleaver
compatibleSuccDegreePrec_of_noCommonOrientation	compatibleSuccDegreeStrictInterl_of_noCommonOrientation	1	1	lean_declaration	manual_semantic_rename	CommonInterleaver
compatibleSuccDegreePrec_of_signedRightFamily	compatibleSuccDegreeStrictInterl_of_signedRightFamily	1	1	lean_declaration	manual_semantic_rename	CommonInterleaver
